ligand,receptor,source,target,ligand_expr,receptor_expr,score,pvalue
CD34,SELL,8,4,2.197674418604651,0.5207253886010362,1.1443848656464632,0.001996007984031936
CXCL9,CXCR3,9,1,9.228571428571428,0.12,1.1074285714285712,0.001996007984031936
ICAM1,ITGAL,8,9,1.2267441860465116,0.9,1.1040697674418605,0.001996007984031936
C3,C3AR1,3,1,1.6842105263157894,0.654,1.1014736842105264,0.001996007984031936
PDGFB,PDGFRB,9,8,0.30714285714285716,3.5813953488372094,1.1,0.001996007984031936
TGFB1,TGFBR2,1,1,0.48,2.282,1.09536,0.001996007984031936
C3,C3AR1,1,2,5.276,0.2046908315565032,1.0799488272921107,0.001996007984031936
ICAM1,ITGAL,8,1,1.2267441860465116,0.88,1.0795348837209302,0.001996007984031936
C3,C3AR1,8,9,0.6918604651162791,1.5571428571428572,1.0773255813953488,0.001996007984031936
TGFB1,TGFBR2,1,5,0.48,2.22992700729927,1.0703649635036496,0.001996007984031936
TGFB1,TGFBR2,4,9,0.20207253886010362,5.264285714285714,1.0637675795706885,0.001996007984031936
CD34,SELL,4,9,1.349740932642487,0.7857142857142857,1.0605107327905254,0.001996007984031936
TGFB1,TGFBR2,2,8,0.08102345415778252,13.081395348837209,1.059899836366341,0.001996007984031936
C3,C3AR1,9,8,3.5357142857142856,0.29651162790697677,1.0483803986710964,0.001996007984031936
EGF,EGFR,4,1,1.9378238341968912,0.534,1.0347979274611399,0.001996007984031936
PDGFB,PDGFRB,3,8,0.28728070175438597,3.5813953488372094,1.0288657690738474,0.001996007984031936
CD34,SELL,4,1,1.349740932642487,0.74,0.9988082901554404,0.001996007984031936
CXCL10,CXCR3,9,3,5.9071428571428575,0.1600877192982456,0.9456610275689223,0.001996007984031936
VEGFA,KDR,2,4,0.8805970149253731,1.0699481865284974,0.9421931791818111,0.001996007984031936
VEGFA,KDR,5,9,1.1313868613138687,0.8285714285714286,0.9374348279457769,0.003992015968063872
EGF,EGFR,6,4,1.008888888888889,0.927461139896373,0.9357052389176742,0.001996007984031936
PDGFB,PDGFRB,6,8,0.2577777777777778,3.5813953488372094,0.923204134366925,0.001996007984031936
VEGFA,KDR,8,2,7.843023255813954,0.11727078891257996,0.9197575246690137,0.001996007984031936
VEGFA,KDR,7,8,0.5906735751295337,1.5406976744186047,0.9100494035425956,0.003992015968063872
CCL5,CCR5,3,9,2.4473684210526314,0.36428571428571427,0.8915413533834585,0.001996007984031936
PDGFB,PDGFRB,7,8,0.24870466321243523,3.5813953488372094,0.8907097240631402,0.001996007984031936
PDGFB,PDGFRB,2,8,0.24733475479744135,3.5813953488372094,0.8858035404373481,0.001996007984031936
C3,C3AR1,4,1,1.3290155440414508,0.654,0.8691761658031089,0.001996007984031936
CXCL9,CXCR3,9,9,9.228571428571428,0.09285714285714286,0.856938775510204,0.001996007984031936
C3,C3AR1,9,5,3.5357142857142856,0.24087591240875914,0.8516684045881127,0.001996007984031936
ICAM1,ITGAL,1,9,0.938,0.9,0.8442,0.001996007984031936
ANGPT1,TEK,4,4,0.7746113989637305,1.077720207253886,0.8348143574324143,0.001996007984031936
ICAM1,ITGAL,1,1,0.938,0.88,0.82544,0.001996007984031936
ICAM1,ITGAL,9,8,1.9071428571428573,0.43023255813953487,0.820514950166113,0.001996007984031936
TGFB1,TGFBR2,6,8,0.06222222222222222,13.081395348837209,0.8139534883720929,0.011976047904191617
PDGFB,PDGFRB,1,4,0.468,1.7279792746113989,0.8086943005181347,0.001996007984031936
PDGFB,PDGFRB,8,1,0.9302325581395349,0.864,0.8037209302325581,0.001996007984031936
VEGFA,KDR,1,8,0.52,1.5406976744186047,0.8011627906976745,0.013972055888223553
EGF,EGFR,4,8,1.9378238341968912,0.4127906976744186,0.7999156524882516,0.001996007984031936
ICAM1,ITGAL,4,9,0.8860103626943006,0.9,0.7974093264248705,0.001996007984031936
TGFB1,TGFBR2,7,4,0.11398963730569948,6.935233160621761,0.7905447126097345,0.003992015968063872
PDGFA,PDGFRA,8,4,0.5,1.5647668393782384,0.7823834196891192,0.001996007984031936
SELE,CD44,9,1,0.4714285714285714,1.654,0.7797428571428571,0.001996007984031936
ICAM1,ITGAL,4,1,0.8860103626943006,0.88,0.7796891191709845,0.001996007984031936
