ligand,receptor,source,target,ligand_expr_ctrl,receptor_expr_ctrl,score_ctrl,key,score_rej,ligand_expr_rej,receptor_expr_rej,log2FC
ICAM1,ITGAL,4,6,0.8272727272727273,0.0,0.0,ICAM1_ITGAL_4_6,0.1736676435471616,0.963855421686747,0.18018018018018017,7.4484685695378845
PDGFB,PDGFRB,6,2,0.3333333333333333,0.0,0.0,PDGFB_PDGFRB_6_2,0.17043810405694773,0.25675675675675674,0.6638115631691649,7.42154399014935
TGFB1,TGFBR2,10,2,0.0,0.0,0.0,TGFB1_TGFBR2_10_2,0.16885897828081983,0.19047619047619047,0.8865096359743041,7.408193666919601
CXCL11,CXCR3,3,3,1.0,0.0,0.0,CXCL11_CXCR3_3_3,0.16610549399367344,1.0330396475770924,0.16079295154185022,7.3846153560112295
PDGFB,PDGFRB,2,2,0.0,0.0,0.0,PDGFB_PDGFRB_2_2,0.1648868122647176,0.24839400428265523,0.6638115631691649,7.374055388687332
TNF,TNFRSF1A,10,3,0.0,1.0,0.0,TNF_TNFRSF1A_10_3,0.16110761485210826,0.14285714285714285,1.1277533039647578,7.340808051458947
TGFB1,TGFBR2,4,2,0.21818181818181817,0.0,0.0,TGFB1_TGFBR2_4_2,0.16021258481463327,0.18072289156626506,0.8865096359743041,7.332820559825352
VEGFA,KDR,2,6,0.0,0.6666666666666666,0.0,VEGFA_KDR_2_6,0.15934564114435634,0.8843683083511777,0.18018018018018017,7.32504132568778
IFNG,IFNGR1,3,4,0.0,1.9363636363636363,0.0,IFNG_IFNGR1_3_4,0.1469932593811369,0.1277533039647577,1.1506024096385543,7.2093876569879605
FGF2,FGFR1,3,10,0.0,0.3333333333333333,0.0,FGF2_FGFR1_3_10,0.14684287812041114,0.22026431718061673,0.6666666666666666,7.20792093747485
B2M,CD8A,5,6,2.337078651685393,0.0,0.0,B2M_CD8A_5_6,0.1467181467181467,1.7142857142857142,0.08558558558558559,7.206703257394933
C3,C3AR1,4,2,1.7954545454545454,0.0,0.0,C3_C3AR1_4_2,0.1461262609323805,0.7108433734939759,0.20556745182012848,7.200910969579459
C3,C3AR1,2,3,0.0,0.0,0.0,C3_C3AR1_2_3,0.14547349753322833,0.31905781584582443,0.45594713656387664,7.194495841205633
VEGFA,KDR,2,3,0.0,0.0,0.0,VEGFA_KDR_2_3,0.14220019054985897,0.8843683083511777,0.16079295154185022,7.161889602105621
SELE,CD44,4,2,0.2,0.0,0.0,SELE_CD44_4_2,0.14005056629085938,0.28313253012048195,0.49464668094218417,7.140068647852583
ICAM1,ITGAL,4,10,0.8272727272727273,0.0,0.0,ICAM1_ITGAL_4_10,0.13769363166953527,0.963855421686747,0.14285714285714285,7.115757735405185
CD34,SELL,10,2,0.25,0.0,0.0,CD34_SELL_10_2,0.13704496788008563,0.6666666666666666,0.20556745182012848,7.1089944884449
BMP7,BMPR2,10,10,0.0,0.4583333333333333,0.0,BMP7_BMPR2_10_10,0.13605442176870747,0.14285714285714285,0.9523809523809523,7.0986050641688285
IL1B,IL1R1,3,4,0.0,1.8636363636363635,0.0,IL1B_IL1R1_3_4,0.13587389204394673,0.1762114537444934,0.7710843373493976,7.0967034763210615
C3,C3AR1,4,10,1.7954545454545454,0.0,0.0,C3_C3AR1_4_10,0.13539873780837636,0.7108433734939759,0.19047619047619047,7.091686483946038
FASLG,FAS,3,4,0.0,0.8818181818181818,0.0,FASLG_FAS_3_4,0.1341223926543177,0.16740088105726872,0.8012048192771084,7.078122969503547
HGF,MET,6,4,0.0,1.55,0.0,HGF_MET_6_4,0.13404971236296537,0.11711711711711711,1.144578313253012,7.077346756885837
CD86,CD28,3,4,0.0,0.25,0.0,CD86_CD28_3_4,0.13160129504803356,0.3766519823788546,0.3493975903614458,7.05095105534779
C3,C3AR1,10,3,0.16666666666666666,0.0,0.0,C3_C3AR1_10_3,0.1302706104468219,0.2857142857142857,0.45594713656387664,7.036400144020336
VEGFA,KDR,2,5,0.0,0.3333333333333333,0.0,VEGFA_KDR_2_5,0.12633832976445394,0.8843683083511777,0.14285714285714285,6.992522936097156
VEGFA,KDR,2,10,0.0,0.08333333333333333,0.0,VEGFA_KDR_2_10,0.12633832976445394,0.8843683083511777,0.14285714285714285,6.992522936097156
ANGPT1,TEK,4,2,0.9545454545454546,0.0,0.0,ANGPT1_TEK_4_2,0.12628673150847503,0.536144578313253,0.23554603854389722,6.991938228930736
ICAM1,ITGAL,3,2,1.0,0.0,0.0,ICAM1_ITGAL_3_2,0.12407908762463563,0.5220264317180616,0.23768736616702354,6.966696790611666
CCL5,CCR5,3,6,0.0,0.0,0.0,CCL5_CCR5_3_6,0.12180021431122753,2.458149779735683,0.04954954954954955,6.940169268279848
